app.mthd.nm,n,pars,rmse,mae,mbe,me
Broadcast,222,1,0.24,0.17,-0.11,0.19
Broadcast,222,2,0.19,0.14,-0.047,0.48
Broadcast,222,3,0.17,0.13,-0.005,0.6
Trailing hose,205,1,0.12,0.1,0.026,-0.05
Trailing hose,205,2,0.1,0.07,-0.006,0.32
Trailing hose,205,3,0.09,0.07,-0.002,0.39
Trailing shoe,163,1,0.14,0.1,-0.015,0.39
Trailing shoe,163,2,0.13,0.09,-0.008,0.46
Trailing shoe,163,3,0.13,0.09,0.008,0.46
Open slot injection,119,1,0.1,0.08,0.022,-0.14
Open slot injection,119,2,0.1,0.08,0.03,-0.11
Open slot injection,119,3,0.09,0.07,0.001,0.09
Closed slot injection,13,2,0.06,0.05,-0.026,-0.13
Closed slot injection,13,3,0.06,0.04,0.003,0.07
