variable,app.mthd,n,min,max,mean,q10,q90
man.dm,bc,187,1,13.6,7,3.4,10.4
man.dm,bsth,189,1,8.8,4,1.9,6.4
man.dm,cs,16,1.9,10.7,5.5,1.9,10.3
man.dm,os,86,1.9,11.3,7.2,4.7,9.3
man.dm,ts,97,1.5,11.3,7.3,3.9,9
man.ph,bc,143,4.3,8.4,7.3,6.9,8
man.ph,bsth,189,5.8,8.9,7.4,6.4,8.1
man.ph,cs,12,7.3,7.9,7.7,7.3,7.9
man.ph,os,86,6.7,8,7.3,6.9,7.8
man.ph,ts,97,6.8,8.3,7.5,6.9,8.2
man.tan,bc,187,0.6,6.3,2.6,0.9,4.7
man.tan,bsth,189,0.6,5.2,2.2,1,3.4
man.tan,cs,16,2.3,6.1,3.4,2.5,5.5
man.tan,os,86,0.7,6.3,2.1,1.6,2.6
man.tan,ts,97,0.6,6.3,1.7,1.3,2.1
app.rate,bc,187,8.4,132.6,27.8,12.2,46.6
app.rate,bsth,189,9.1,64.3,37.9,26.7,52.5
app.rate,cs,16,21.9,42,29.8,24.1,38
app.rate,os,86,10.4,68.5,24.1,14.2,35.8
app.rate,ts,97,7.9,92.4,34.5,14.1,55.4
tan.app,bc,187,10.9,235.4,61.4,23.2,115.9
tan.app,bsth,189,11.7,196,77.3,41.1,123
tan.app,cs,16,50.6,209.6,102.6,64.4,178.2
tan.app,os,86,16,137,50.4,27,79.2
tan.app,ts,97,13.1,110.9,53.4,23.4,79.2
wind.2m.24,bc,187,0.6,8.3,2.9,1.1,4.9
wind.2m.24,bsth,189,0.6,9.7,3.9,1.7,7.7
wind.2m.24,cs,16,1.1,6.1,2.8,1.3,4.4
wind.2m.24,os,86,0.5,4.8,2.7,1.3,4.4
wind.2m.24,ts,97,0.7,7.1,3.1,1.3,5
air.temp.24,bc,187,1.7,28.9,14,7.5,20.8
air.temp.24,bsth,189,-1,21.7,11.2,4.7,16.5
air.temp.24,cs,16,7.5,21.3,12.8,7.7,20
air.temp.24,os,86,4.4,24.2,14.7,8,21.1
air.temp.24,ts,97,3.2,24,13.2,8.5,17.4
rain.1,bsth,121,0,2.4,0.3,0,1.8
rain.1,bc,80,0,0,0,0,0
rain.1,ts,35,0,0,0,0,0
rain.1,os,34,0,0.9,0.1,0,0.1
rain.1,cs,8,0,0,0,0,0
